code_commune_INSEE,nom_commune_complet,latitude,longitude,Population totale
10158,Fouchères,48.1485731236,4.27075945691,533.0
10159,Fralignes,48.1641131783,4.37961204554,87.0
10160,Fravaux,48.2361442581,4.64187603164,40.0
10161,Fresnay,48.3091765405,4.75726662976,52.0
10162,Fresnoy-le-Château,48.2201181209,4.23354437753,301.0
10163,Fuligny,48.3403541519,4.69850669182,43.0
10164,Gélannes,48.4754200511,3.6678407267,744.0
10165,Géraudot,48.3065900914,4.32289147943,342.0
10166,Les Grandes-Chapelles,48.4684641557,4.02789249999,403.0
10167,Grandville,48.5941600232,4.23537333825,91.0
10168,Les Granges,48.0567039113,4.06179024934,82.0
10169,Gumery,48.4396051909,3.42197876151,227.0
10170,Gyé-sur-Seine,48.0123873198,4.4395162779,485.0
10171,Hampigny,48.4605262856,4.60136674938,234.0
10172,Herbisse,48.6151829352,4.12161191885,155.0
10173,Isle-Aumont,48.2054661706,4.12228896976,468.0
10174,Isle-Aubigny,48.5438287791,4.28206755992,171.0
10175,Jasseines,48.5090150718,4.39400392389,175.0
10176,Jaucourt,48.2539202754,4.64112952114,162.0
10177,Javernant,48.1590647301,3.99847725785,157.0
10178,Jessains,48.2848174581,4.56960734893,263.0
10179,Jeugny,48.1156606446,4.05456641907,481.0
10180,Joncreuil,48.5270359202,4.62391326662,99.0
10181,Jully-sur-Sarce,48.1093784032,4.27896296747,226.0
10182,Juvancourt,48.1165186849,4.81270579284,120.0
10183,Juvanzé,48.3237109111,4.58905857262,36.0
10184,Juzanvigny,48.4164316249,4.60987981766,128.0
10185,Lagesse,48.01607316,4.13301378601,213.0
10186,Laines-aux-Bois,48.2286422657,3.97898834535,545.0
10187,Landreville,48.0711739648,4.46588961717,401.0
10188,Lantages,48.0769887467,4.20669407653,217.0
10189,Lassicourt,48.4357415556,4.50042412067,58.0
10190,Laubressel,48.3004850515,4.22586095829,582.0
10191,Lavau,48.3334867186,4.09283972542,905.0
10192,Lentilles,48.4879545588,4.62902346103,130.0
10193,Lesmont,48.4302411801,4.42438844514,306.0
10194,Lévigny,48.2978727553,4.70743033255,96.0
10195,Lhuître,48.5811831935,4.27395119742,293.0
10196,Lignières,47.9569372916,3.96407269438,223.0
10197,Lignol-le-Château,48.2134404984,4.81180296521,180.0
10198,Lirey,48.1605014296,4.03885762812,106.0
10199,Loches-sur-Ource,48.0701287498,4.50451246943,353.0
10200,La Loge-aux-Chèvres,48.2694215855,4.40750585645,98.0
10201,La Loge-Pomblin,48.0675064407,4.04451121185,69.0
10202,Les Loges-Margueron,48.0989054968,4.11142843878,296.0
10203,Longchamp-sur-Aujon,48.1525191193,4.81837981298,387.0
10204,Longeville-sur-Mogne,48.1468654256,4.06439073239,144.0
10205,Longpré-le-Sec,48.1876628751,4.52819150084,87.0
10206,Longsols,48.4258761682,4.28517563382,129.0
10207,Longueville-sur-Aube,48.5509934474,3.91289272795,131.0
10208,La Louptière-Thénard,48.3848337142,3.43747423179,302.0
10209,Lusigny-sur-Barse,48.2629805812,4.27634825277,2282.0
10210,Luyères,48.3801080696,4.19418132479,470.0
10211,Macey,48.3057699165,3.91365964088,1013.0
10212,Machy,48.1456167821,4.03573129763,116.0
10213,Magnant,48.1677499424,4.4209760731,162.0
10214,Magnicourt,48.4585859701,4.38223049773,91.0
10215,Magny-Fouchard,48.2350365053,4.54539283369,263.0
10216,Mailly-le-Camp,48.6742219512,4.18559230801,2064.0
10217,Maison-des-Champs,48.2437981025,4.57090591016,33.0
10218,Maisons-lès-Chaource,48.0086838705,4.16340357951,169.0
10219,Maisons-lès-Soulaines,48.2950290982,4.78298618577,72.0
10220,Maizières-la-Grande-Paroisse,48.5043607411,3.78940830122,1548.0
10221,Maizières-lès-Brienne,48.4303148659,4.6007889307,160.0
10222,Maraye-en-Othe,48.1523036289,3.86532738324,441.0
10223,Marcilly-le-Hayer,48.3312815098,3.64419365693,735.0
10224,Marigny-le-Châtel,48.4016409293,3.72139203898,1793.0
10225,Marnay-sur-Seine,48.5151408738,3.55397183293,242.0
10226,Marolles-lès-Bailly,48.1841528588,4.34621650756,115.0
10227,Marolles-sous-Lignières,47.9606826185,3.91959636064,344.0
10228,Mathaux,48.3555193873,4.46117528248,206.0
10229,Maupas,48.137803272,4.07882418849,104.0
10230,Mergey,48.395565383,4.03305791455,683.0
10231,Le Mériot,48.5105625489,3.44198941975,634.0
10232,Merrey-sur-Arce,48.0958413373,4.40492577623,328.0
10233,Méry-sur-Seine,48.5090415373,3.89883069261,1531.0
10234,Mesgrigny,48.479960001,3.86431513011,271.0
10235,Mesnil-la-Comtesse,48.4981106187,4.19774579416,50.0
10236,Mesnil-Lettre,48.4610108497,4.25893438516,57.0
10237,Mesnil-Saint-Loup,48.3083238587,3.77156922851,619.0
10238,Mesnil-Saint-Père,48.2511690464,4.34558452983,448.0
10239,Mesnil-Sellières,48.3358644177,4.20667057813,613.0
10240,Messon,48.2636235898,3.91533250888,477.0
10241,Metz-Robert,48.0694714886,4.09978778841,61.0
10242,Meurville,48.2042902297,4.60493225781,161.0
10243,Molins-sur-Aube,48.4332955789,4.38844568734,109.0
10245,Montaulin,48.2479487774,4.1973065201,839.0
10246,Montceaux-lès-Vaudes,48.148825142,4.1578812358,276.0
10247,Montfey,48.0665324378,3.87246147303,124.0
10248,Montgueux,48.2976863348,3.95463268701,404.0
10249,Montiéramey,48.2350578158,4.31390448767,411.0
10250,Montier-en-l'Isle,48.2695334218,4.68288952065,228.0
10251,Montigny-les-Monts,48.0917650744,3.9649860818,262.0
10252,Montmartin-le-Haut,48.2094879831,4.54987689229,63.0
10253,Montmorency-Beaufort,48.4860560595,4.55616218734,144.0
10254,Montpothier,48.5762344915,3.51599225081,338.0
10255,Montreuil-sur-Barse,48.2169516287,4.28658363089,292.0
10256,Montsuzain,48.4457957709,4.14056971998,409.0
